targetAmount,raisedAmount,supporters,targetDate
500000.0,5142398.0,5023,2023-11-10
500000.0,5812247.0,5482,2023-11-10
500000.0,5679342.0,5332,2023-11-10
500000.0,5635238.0,5283,2023-11-10
500000.0,5624933.0,5275,2023-11-10
500000.0,5593886.0,5232,2023-11-10
500000.0,5536117.0,5186,2023-11-10
500000.0,5542580.0,5193,2023-11-10
500000.0,5668152.0,5313,2023-11-10
500000.0,5779931.0,5446,2023-11-10
500000.0,5144242.0,5027,2023-11-10
500000.0,5879104.0,5551,2023-11-10
500000.0,5816080.0,5489,2023-11-10
500000.0,5809360.0,5480,2023-11-10
500000.0,5596113.0,5237,2023-11-10
500000.0,3731004.0,3387,2023-11-10
500000.0,5831563.0,5506,2023-11-10
500000.0,5957186.0,5623,2023-11-10
500000.0,5148832.0,5032,2023-11-10
500000.0,5947853.0,5618,2023-11-10
500000.0,5567127.0,5209,2023-11-10
500000.0,5656805.0,5303,2023-11-10
500000.0,5960251.0,5627,2023-11-10
500000.0,5807396.0,5475,2023-11-10
500000.0,5407782.0,5058,2023-11-10
500000.0,5143924.0,5026,2023-11-10
500000.0,5879104.0,5551,2023-11-10
500000.0,5711068.0,5367,2023-11-10
500000.0,5788961.0,5455,2023-11-10
500000.0,5840601.0,5513,2023-11-10
500000.0,5743767.0,5398,2023-11-10
500000.0,5542580.0,5193,2023-11-10
500000.0,5659692.0,5305,2023-11-10
500000.0,5568859.0,5212,2023-11-10
500000.0,5717944.0,5373,2023-11-10
500000.0,5817629.0,5491,2023-11-10
500000.0,5729062.0,5380,2023-11-10
500000.0,5661718.0,5306,2023-11-10
500000.0,5676958.0,5327,2023-11-10
500000.0,5417256.0,5066,2023-11-10
500000.0,5610067.0,5250,2023-11-10
500000.0,5922560.0,5596,2023-11-10
500000.0,5161224.0,5049,2023-11-10
500000.0,5142936.0,5024,2023-11-10
500000.0,5811639.0,5482,2023-11-10
500000.0,4841237.0,4644,2023-11-10
500000.0,5812795.0,5484,2023-11-10
500000.0,5508407.0,5172,2023-11-10
500000.0,5890849.0,5560,2023-11-10
500000.0,5923511.0,5597,2023-11-10
500000.0,5776780.0,5442,2023-11-10
500000.0,5676958.0,5327,2023-11-10
500000.0,5569754.0,5213,2023-11-10
500000.0,5593886.0,5232,2023-11-10
500000.0,5926213.0,5599,2023-11-10
500000.0,5049144.0,4891,2023-11-10
500000.0,5921596.0,5595,2023-11-10
500000.0,5540908.0,5191,2023-11-10
500000.0,5780341.0,5446,2023-11-10
500000.0,5840006.0,5513,2023-11-10
500000.0,5142398.0,5023,2023-11-10
500000.0,5144242.0,5027,2023-11-10
500000.0,5972547.0,5636,2023-11-10
500000.0,5866294.0,5537,2023-11-10
500000.0,5415902.0,5063,2023-11-10
500000.0,5145968.0,5029,2023-11-10
500000.0,5888146.0,5556,2023-11-10
500000.0,5874746.0,5544,2023-11-10
500000.0,5704700.0,5362,2023-11-10
500000.0,5812247.0,5482,2023-11-10
500000.0,5142936.0,5024,2023-11-10
500000.0,5145680.0,5030,2023-11-10
500000.0,5857449.0,5527,2023-11-10
500000.0,5788961.0,5455,2023-11-10
500000.0,5142936.0,5024,2023-11-10
500000.0,5814800.0,5485,2023-11-10
500000.0,5916720.0,5589,2023-11-10
500000.0,5788961.0,5455,2023-11-10
500000.0,5568449.0,5212,2023-11-10
500000.0,5607716.0,5248,2023-11-10
500000.0,5868521.0,5539,2023-11-10
500000.0,5888146.0,5556,2023-11-10
500000.0,5975020.0,5643,2023-11-10
500000.0,5928197.0,5601,2023-11-10
500000.0,6000927.0,5663,2023-11-10
500000.0,5535906.0,5186,2023-11-10
500000.0,5659569.0,5306,2023-11-10
500000.0,5142936.0,5024,2023-11-10
500000.0,5920934.0,5594,2023-11-10
500000.0,5572897.0,5214,2023-11-10
500000.0,5866294.0,5537,2023-11-10
500000.0,5941221.0,5610,2023-11-10
500000.0,4615387.0,4352,2023-11-10
500000.0,5671427.0,5317,2023-11-10
500000.0,5943883.0,5612,2023-11-10
500000.0,5981242.0,5647,2023-11-10
500000.0,5992953.0,5657,2023-11-10
500000.0,5888304.0,5556,2023-11-10
500000.0,5443245.0,5095,2023-11-10
500000.0,6021962.0,5678,2023-11-10
500000.0,5062218.0,4916,2023-11-10
500000.0,5543264.0,5194,2023-11-10
500000.0,5779931.0,5446,2023-11-10
500000.0,5736568.0,5389,2023-11-10
500000.0,5806833.0,5474,2023-11-10
500000.0,5989131.0,5653,2023-11-10
500000.0,5884880.0,5554,2023-11-10
500000.0,5144242.0,5027,2023-11-10
500000.0,5659084.0,5305,2023-11-10
500000.0,5140189.0,5022,2023-11-10
500000.0,5817629.0,5491,2023-11-10
500000.0,5417654.0,5067,2023-11-10
500000.0,5574644.0,5216,2023-11-10
500000.0,5671701.0,5318,2023-11-10
500000.0,5785878.0,5452,2023-11-10
500000.0,5717944.0,5373,2023-11-10
500000.0,5972705.0,5636,2023-11-10
500000.0,5673558.0,5320,2023-11-10
500000.0,5743767.0,5398,2023-11-10
500000.0,5622683.0,5268,2023-11-10
500000.0,5871388.0,5542,2023-11-10
500000.0,5501845.0,5166,2023-11-10
500000.0,5840006.0,5513,2023-11-10
500000.0,5795118.0,5460,2023-11-10
500000.0,5576591.0,5219,2023-11-10
500000.0,5950032.0,5619,2023-11-10
500000.0,5756544.0,5416,2023-11-10
500000.0,5756623.0,5417,2023-11-10
500000.0,5975294.0,5644,2023-11-10
